category,precision,recall,fbeta
workclass_State-gov,0.9505813953488372,0.9263456090651558,0.9383070301291249
workclass_Self-emp-not-inc,0.9584569732937686,0.8922651933701657,0.9241773962804005
workclass_Private,0.9539132239983392,0.9258512996171671,0.9396728016359919
workclass_Federal-gov,0.959349593495935,0.954177897574124,0.9567567567567566
workclass_Local-gov,0.9588138385502472,0.9432739059967585,0.9509803921568628
workclass_Missing,0.96,0.8795811518324608,0.9180327868852459
workclass_Self-emp-inc,0.9565916398713826,0.9565916398713826,0.9565916398713826
workclass_Without-pay,1.0,1.0,1.0
workclass_Never-worked,1.0,1.0,1.0
education_Bachelors,0.9526411657559198,0.9419180549302116,0.947249264206475
education_HS-grad,0.9516441005802708,0.8811940298507462,0.9150650960942344
education_11th,1.0,0.8666666666666667,0.9285714285714286
education_Masters,0.9616977225672878,0.9687174139728885,0.9651948051948052
education_9th,1.0,0.9259259259259259,0.9615384615384615
education_Some-college,0.9495101733232856,0.9084354722422494,0.9285187914517317
education_Assoc-acdm,0.9536679536679536,0.9320754716981132,0.9427480916030534
education_Assoc-voc,0.9540229885057471,0.9196675900277008,0.936530324400564
education_7th-8th,1.0,0.875,0.9333333333333333
education_Doctorate,0.9678456591639871,0.9836601307189542,0.9756888168557536
education_Prof-school,0.9629629629629629,0.983451536643026,0.9730994152046784
education_5th-6th,1.0,0.875,0.9333333333333333
education_10th,0.9285714285714286,0.8387096774193549,0.8813559322033899
education_1st-4th,1.0,1.0,1.0
education_Preschool,1.0,1.0,1.0
education_12th,1.0,0.9090909090909091,0.9523809523809523
marital_status_Never-married,0.9816933638443935,0.8737270875763747,0.9245689655172413
marital_status_Married-civ-spouse,0.9516739887895773,0.9387328153018529,0.945159106296547
marital_status_Divorced,0.9682151589242054,0.8552915766738661,0.9082568807339451
marital_status_Married-spouse-absent,0.9655172413793104,0.8235294117647058,0.888888888888889
marital_status_Separated,1.0,0.8333333333333334,0.9090909090909091
marital_status_Married-AF-spouse,1.0,0.7,0.8235294117647058
marital_status_Widowed,1.0,0.8235294117647058,0.9032258064516129
occupation_Adm-clerical,0.946058091286307,0.8994082840236687,0.9221435793731042
occupation_Exec-managerial,0.9613998970663922,0.9491869918699187,0.9552544106366658
occupation_Handlers-cleaners,0.975,0.9069767441860465,0.9397590361445783
occupation_Prof-specialty,0.9557235421166307,0.9521247982786444,0.9539207760711398
occupation_Other-service,0.9915254237288136,0.8540145985401459,0.9176470588235295
occupation_Sales,0.9523316062176166,0.9348931841302136,0.9435318275154004
occupation_Craft-repair,0.9500567536889898,0.9009687836383208,0.9248618784530387
occupation_Transport-moving,0.9433333333333334,0.884375,0.9129032258064517
occupation_Farming-fishing,0.9484536082474226,0.8,0.8679245283018867
occupation_Machine-op-inspct,0.9364406779661016,0.884,0.9094650205761317
